ይገረስሳሉ	They will be circumcised
ተብሎአል	It is said
የአገሯ	Her country
ክፍተቶቹ	gap
ከ532	From 532
ከተተነበየው	Expected
ሃይሩፍ	Hirosh
እርዳታዋን	Help her
አልገለጹም	Did not specify
የኢቲቪ	Eti
የትእይንት	Show
ፕራታያ	Pradesh
የጋማ	Gum
ጨረቃው	moon
ከደረቅ	Dry
መዛመትና	Slope
ከምጽዋ	From her food
ካንሠርን	Canberra
ከገባችበት	From within
እድገትን	Growth
እንወስናለን	We decide
የቦብ	Boom
ገቦች	Gates
የመርከቦች	Ships
የተረጋጋች	Stable
ሁነቶች	Events
የሚሰራጨውና	Spending
የሚፈጥር	Creating
መርጅያ	Providence
ድርጅቱና	The organization and
ሳይጥል	Without
በተረጂዎች	By the assistants
ለበረታ	For strength
በመከትንበት	Where we crash
እየተገለለች	Is fading
ያፍረጠረጠችው	Sneezed
ለያንዳንዳቸው	For each
የኤሌክትሪክና	Electricity
የጎደውና	Hurt
ለክራይስትቸርች	For merchants
እናስተላልፋለን	We transmit it
ልናደርሰው	reach
በአጥቂዎች	By the perpetrators
የሚገጥሙ	Accomplishing
አማሮና	Amor
ድርጅርት	Organization
በተጓዳኝም	In addition
ባወጣችው	She brought it
የሆሳህናን	Your hosos
በኢል	In IL
ዳርማ	Edge
ያፈኑት	Blend it
ሉላ	Lola
እየጎላ	grow
ምሽጉን	fort
ሳልቫዶራዊት	Salvadoran
ከአለፈው	From the past
ህዘበ	Sep
የአመጋገባቸውን	Their diet
የፉኩሺማ	Fukushima
ኢትዮጲያዊት	Ethiopians
ተስቷል	Sorry
ከ750ሽህ	750 cu
የሚቆየው	Lasting
ሲጎዝ	When to blow
የማህበረሰቡን	Community
ከጉዳቱም	And from the harm
ቁጥቋጦዎች	Shrubs
ነርቮች	Nerves
በሚያፈስ	Forcing
እንዲቸሩት	hunt
የንጹሀን	Pure
መኪኖቹ	cars
ከተሸነፉ	If they are over
እንደወሰዳቸው	As it happens
ከ8ሽህ	From 8pm
የህወዓት	Elementary
ለማይነገር	For not telling
ትኩሳቱን	fever
የኮንዶሚኒየም	Condominium
ብጥብጥና	Violence
በሚዙሪ	In turn
ተዋጽዖዎች	Factors
ኣስረክበዋል	Delivered
ተረክባለች	Received
ከሳሊም	From Salima
ቀዝቅዘው	Cool
ተመሥርቶበት	Based on it
ዳይሪክተር	Directories
ለተጎጂዎች	For TIP victims
ከቆሰሉ	Wounded
በተጋለጠበት	Exposed
ማጠራቀሚያ	Storage
በሕዝቧ	In her people
ኮሚሽንም	Commission
በሳተላይትና	By satellite
ኣሰርተውላቸዋል	You have escaped
ሆምስ	Homos
መግለፁን	Explain
ግማዱ	Gear
መግስትን	Adaptation
ለመዋኘት	swim
እንደሚያሳውቁና	And to announce
ዋድላና	Wendell
ከፌስቡክ	From Facebook
የሚያግባባ	Persuasive
የሄደችውን	What she went
የተነቃነቀ	Activated
ያቀረበዉ	Provided
ቃል-አቡ	Word-ab
አላስገቡም	But they did not enter
የማርክ	Mark
ቅስቀሣዎች	Triggers
ገጠሮችና	Houses
ስለቫይረሱ	About the virus
የማዘዋወር	Transfer
እንዳያጋልጡ	expose
ሞጆ	Modjo
የቢንላደን	Bollywood
የመርጨት	Grabbing
የአረቡ	Wednesday
የተለቀቀውም	Released
የእሳትና	Fire
አይታው	See it
ከደ	If so
በወባዋ	In her malaria
እንስሦችን	Animals
ከካንሰር	Cancer
ከፖርትቪላ	From Portvila
በሴፍቲ	By Safety
ቱቦዎች	Tubes
እየጣለው	Just drop it
ባለመስተካከሉ	Not adjusted
ኮሎምቢያንና	Colombia
ከመደኛው	From the casual
የብቸኝነት	Loneliness
ተቃጥለው	Burned
የኢትዩጵያን	Ethiopia
የታቀፉ	Shaped
አይሆኑ	No
ያቆለጳጰሳቸው	Smothered them
ከአሜሪካው	From the United States
ቅርጫቱን	boot
የኣንዳንዶቻችሁ	Some of you
በመካድ	Disregard
ከጂዳ	From Jada
ተመሳሳይነት	Similitude
በጀርባቸው	On their back
የሚያዝያው	It's miserable
በመሥራት	Working
መሞታቸውንና	They died and were buried
ተካሂዶባቸው	It was done
ለውውይት	For exchange
ሻለሁ	I love you
ማጥባት	Breastfeed
ከዜናው	From the News
ያየንው	We See It
የሚጠቀምበት	He uses
በአወዛጋቢ	In controversy
ለሚከሰትባቸው	happen
ካርቱኒስት	Cartoonist
ጉድጓድና	Cisterns
ሙሴቬኒ	Moses
ተከታትሎ	Follow up
በ1976	In 1976
ከመካከለኛው	From the middle
አይሌፍ	Do not pass
እኩለሌሊት	Midnight
የተቀዛቀዘ	Refined
ቫንኮበር	Vancouver
እረስቶታል	He forgot
አያዩ	See
ጎጥ	Strawberry
አነጋጋሪና	Talking
አገሪቷን	country
መኣከላዊ	Middle
እንደተቀሰቀሰባቸው	As it rises
44ሰ	44 h
ይለውጠዋል	Will change
አንጠብቅም	We do not expect
እንደሚነሳና	Will be raised
አለመቀነሱ	Do not shrink
በተቻላቸው	By possible
ሊካተቱ	Included
መቆጣጠሩን	Control
ደመቅሣና	and implement
ያንዣበበው	Poke it
የአፋርና	Afar
በመሳሪያዎች	Via devices
በነርሶችና	By Nurses
የ65	Of 65
በጠለፋና	By abduction
እረፍቱ	break
በእንግሊዘኛ	In English
ከታዘብኩት	I've taken it
ያጣበት	Lost
በቁጥሮች	Numbers
ስርቆቱና	Theft
ፈረንጆች	Artists
ከተገለጸው	As defined
ማድበስበስ	Decay
ከኦጋዴን	Of the Ogaden
የፍንዳታውን	explosion
በርበራ	Turn it on
ህልሞችህ	Your dreams
ኮፍማን	Cumman
በቡጅንብራ	In Bangui
በታላቁ	Great
ከምታስተዳድረው	From your administration
በሆሳህና	In Heshbon
ሓሰን	Honsson
ፍንዳተ	Explosion
ቡጅምብራ	Startup
መሞቱንና	And he died
ሲከለክሉ	Prohibiting
ለተጐዱት	For those who are hurt
ለማዘዋወር	Move
አሳንሶታል	Has reduced it
የአቡኑ	The Almighty
በለቀቀ	Escape
በማስተባበል	Ignore
ነበረዉን	Yes
ፈላሾችን	Players
ስራወች	Work
ቢችሉም	Though possible
ሲቦጠስ	When raced
እናቶችን	Mothers
ያቋቋመ	He established it
በሚካተተው	Included
መባባስን	Get rid of
እጥረቱና	And they are
በገባው	Entered in
ከጅጅጋ	From Jijiga
የተረጂው	Helped
ሼንግ	Shang
በሚጠረው	By the time that
የተገለጸ	Defined
ሊያመልጥ	escape
ከጃፓን	From Japan
ኩማ	Kuma
የሚያወራው	talk
ከጳጳሱ	From the bishop
ከ10.5	From 10.5
እያደለ	Crawling
አስፈጻሚዎቻቸው	Their executives
መግሥታት	Play
መኪናና	Car and
የባዕዳን	Foreigners
ከ92	Of 92
ረኸሰስ	Breaking
ከአዳዲሶቹ	From the new ones
በማህበረሰባዊ	Socially
ከተከሰሱ	If charged
ህህህህህህ	Oh yes
እየዳሸቀ	Treading
ይቆጥርብኛል	I can count on it
የሚዙሪ	Wheelchair
ያበቁንን	Have us finished them
ቤቶችም	Homes
በችጋርና	By a famine
የሚደርስባቸዉን	What to expect
አብዶ	Abyssin
የጥቃቱን	attack
የበሉት	Eat
ፓስፊክዋን	Pascualin
በሳሃርሳ	By Samaras
ማጎልበት	Developer
አጥተው	Absolutely
ስላሳሰባት	Concerned
የመልፈስፈስ	Absorption
መጡበት	Came to him
በበርሚንግሃም	By Birmingham
እሚያስጨርስ	We're done
በመፍሰሱ	For the moment
ሃሣቡም	Thinking
እንደመሆናቸውም	As well
ማሽነሪዎች	Mills
አንዣቦባቸዋል	Catch it
ሣምባ-ባንዛ	Samba-Banda
ታቦቱ	The Ark
ትእቢተኛ	Haughty
ድርግት	Business
ሚለቀቅባቸው	Release them
የአሕጉሪቱ	continent
በጀሞ	Juan
እየፈጸመ	It is happening
ሄሊኮፕተሮቻቸውም	Their helicopters
ያጋጠማትን	What happened
የታደጋቸው	Rescued
የሳይንሳዊ	Scientific
የጠቀሱ	Mentioned
ኔቶም	Nethin
መሃዲ	Apostate
በአጎራባች	Neighbors
በኒኩለር	Nicoller
በፓኬት	By Packet
ልረዳህ	Help me
የሚፈልጉትንም	They want
በካምፖች	In the camps
ስለታዩት	About them
በተጣመሩበት	Paired
ይወስናል	Determines
በተጠራቀመ	Stored
የማያንሱ	Less than
ፍላጊዎችና	Hunters
ንብረቱን	Asset
ከመወሰኗ	If you do not
እየመረቅን	We are graduating
ከሲችዋን	From Cux
ዩጂን	Eugen
ላይኛው	Top
እንደጠጣ	Drinking
በ7.9	On 7.9
ጦማሮችን	Blogs
ሐገራችን	Our country
የርሃብ	Hey
መዘፈቁ	Slamming
በኦገስት	By August
በታዋይንና	By the way
ሳሊም	Salim
በስፍርው	By the nail
ጫማቸውንም	And their shoes
መፈረጃቸውን	Their release
ሜይን	Maine
በሚከሰተው	Happening
ኣሰፍሳፊ	Creative Commons License
ካስተጋባች	When she cries
ከተፈናቀሉ	Dismissed
መሆናቸውም	And they are
ያምነው	Believe it
ሮኒ	Renny
እንደሚንቀሳቀስ	As movable
በመሣሠሉ	If you do
ታጭቀው	Crush
የሚሸውድ	pack
እነርሱንም	And they said to them
ሰርታለች	Worked
ሰሪወች	Hey
ይተማል	Condescend
ከሚተዳደሩ	Managed
የረዳን	Help us
ተጠናከረበት	And strengthened
ከተገመቱ	Expected
እንዳይፈፀም	Failure
እንርዳ	Help
እየጠጁልን	We are busy
ተማጽነዋል	Have justified
ከተናገረችው	From what she said
ስራም	Work
ለ18	To 18
30ሺ	30 thousand
ኔት	Net
የአዋሳ	Awash
ዋልድባ	Wow
እንደትዊተር	Like Twitter
በማይችልበት	Where it can not
ሰቭ	Save
የኮሚሽነሩ	Commissioner
ትንኟ	Breastfeeding
እስከሚገኝ	Available
ኢኮኖሚንም	economy
በመናገርና	By saying and
አሳንጌ	Ignore
ምጽዋም	And her alms
ልኬቱ	measure
ከመካሄዳቸው	From them
የተደረገባቸውን	Allowed
የፋጢማን	Fatima
የሸማቂው	lieutenant
ይልመድሽ	Come on
ከአለማቀፍ	From globally
ያወደመ	Ruined
ያወጧታል	It will cost her
በአንጎል	Brain
አስተናግዷል	Hosted
መንቀጠቀጦች	Quizzes
አገርህ	Your country
ድራይቭ	Drive
ማቅረባቸውንም	And offer them
እንደጠየቅን	Asking
መቻላቸውና	And for them
በገባችው	With her
እንዲጠለል	For shelter
ጆስሎ	José
በሚጠሩ	Called
1.7ኪ	1.7 kg
ካልወረዱ	If you do not download
ካርቱን	Cartoon
እየተመከሩ	Be advised
ባግቦ	Bewildered
ውሱንነት	Limit
ማሳደሩም	And cheating
ባስከተለባቸው	Against them
ከሚያሳየው	Playing
ያልረኩ	Inactive
ከመጪዎቹ	Upcoming
ትንሽየ	Just a little
እያንዣበበበት	Around
ኣባታቸው	Their father
ጃክሮስ	Jacques
ከሆኒያራ	From Hoianjara
ዜጐቿን	Her citizens
ባስነበበው	Read it here
ማጉላላት	Zoom
ባልታወቁ	Unknown
የቀውስ	Crushing
ከቶራ	Mayor
በደርግና	By the Derg
ካርቱኖች	Cartoons
ጅል	Silly
መስጊድም	Mosque
ለእርዳታው	help
ባጋጠመ	When
ማተቡ	Drafting
ማደናገሪያ	Cool
በመሰራጨት	Distribute
ለተፈፀመው	Done
በተጥለቀለቀ	Overflow
የ15ኛው	15th
እየተሰጠው	Give it
ስዎቹ	guys
ከ5.75	From 5.75
ለሚተላለፍ	be transmitted
በመቋረጡ	Interrupted
መክፈላቸውን	Paid them
ጎድዊን	Godwin
ሸጠለት	Sold it
ሰፈራቸውን	They were confined
በመጀመሩ	Starting
ከትላንትና	From yesterday
ህብል	Duplicate
አጋሮችን	Partners
ሲያነግስ	When he reigns
የሚደረቅ	Dirty
እንዲዘግቡ	record
የጣለውን	Play for free
ሪፖርተራችን	Our report
የሓጂ	HG
ሞርሲን	Morsyn
ከቀራቸው	From their absence
የተራድኦ	Arguably
እሚምስ	Amim
ከአሻንጉሊቱ	puppet
ወስናለች	She has been
ፕሬዘዳንቷ	President
ያሽቆለቆለ	Deteriorated
የፈፀመባቸውን	Accomplished
ከ61	From 61
በሕፃናቱ	In the babies
ለመካላከል	To be
አያገኙም	Do not get it
ለኢንቨስትመንት	For investment
ስቅለትን	Uploads
በሚገኘውና	In the field
ከዋነኞቹ	From the major
ለሶሪያን	For Syria
ድብደባው	beating
መንትስታት	Depression
በቡርንዲ	In Burundi
አንገታችንን	Our necks
ብራዚልን	Brazil
ጥቁርና	Black
ባጋለጠበት	Engaged
በማሰማራት	By deploying
ፈረንሣይና	French
የተባበሩትመንግስታት	United Nations
የኢናሕዳ	INADA
ሸማቂዎቹ	Brethren
መፍሰሱና	And flow
ሞታ	Dead
ምልክቶቹ	signs
ከደቡብና	From the South
የጸሃዩ	Sunset
የገላ	Ruby
ሀገሪቱም	country
አሻቅቧል	Upgrade
እንዲውሉ	Play it
ኣየደረሰባቸው	They have failed
ሰጥመው	Give it to him
የከለከለበትን	Prohibited
ማበላሸታቸውን	Damage
ቀጥፈዋል	Resolved
ድንገተኛና	Sudden
የተፈናቃይ	Frozen
እየፈሰሱ	Pouring
መመዝበር	Compilation
መቀባበያና	Temptation
በሸራ	Canvas
ቅብብሎሽና	And packaging
ለመለቃቀም	For bullets
በመታደግ	By being saved
የድረገጽ	Website
ለበዛ	It's been rough
ካምዮኖች	Cities
በሞቅዲሾ	In Mogadishu
ከተደበቁበት	Hidden from
ሎሎች	Play Games
የተማሩ	Learned
መሸኘታቸውን	They're running
በቀለገርባንና	Bekelebabang
ምክረ	Recommend
እየተፈፀመባቸው	Enforcing them
በስጡት	Bring it
የዘናብ	be happy
የሚፈስ	Flow
የምታስተላልፈዋ	Transferring
ሩፒና	Rupea
ስናነብ	When we read
ሠርጦች	Weddings
ያዛባዋል	It distorts
ግዛትን	Governance
ሲጨሱ	If you smoke
ማስረጃው	evidence
ሀሰት	Really
ፈንታም	Instead
የአረቡን	Play the net
ሱማሊያውያን	Somalians
ማዕበልና	Waves
ለጉዳተኞቹ	To the perpetrators
የተገለፅ	Explained
ለሣምንት	Per week
ሲሚሞጨልፉበት	Cooling up
አንድሪያስ	Andreas
ባጠናቀቅነው	We're done
አያቀባብርም	It does not bite
በሜዲትራንያን	Mediterranean
እየተወለዱ	Being born
ሊከሰትባቸው	happen
ጥቃትን	Violence
የማረጋጋት	Stable
ጥሶ	Dad
ሊያቃና	He could do it
ለኣባይ	For the birds
በመስከረምና	In September
ሳያር	Yes
ጄነሬተር	Generator
በሱማሊያ	In Somalia
ዊክሊክስ	Wiki
ኢኮዋስ	Icarus
እንዳይቸገሩ	Do not be in trouble
ማየል	Mama
የመጋጨት	Sticking
አገርጎብኚዎችም	Tourists
የተመረጠው	Selected
ለመለማመድ	practice
እንደተጫሙ	Play
ተከሰቱ	Happened
አማሎ	Amau
ስናወሣ	When we kiss
ተራፊዎችን	Traffickers
እስካልሆንክ	If you are not
ዚልዳ	Zillah
በሚዳረጉበት	In the reach
ሲዘግብ	Record
ኣስፈፃሚ	Implement
ያስፈልገኛል	i need
ያጋጠው	Exposure
የሚያሳው	Reminds me
ህዝባቹ	people
ወሮበሎች	Gangs
ሥሮች	Roots
ዐመቷ	She hit her
እንዲከናወንና	do it
አስደንናገጭ	Shocking
ከ250ሺህ	250,000
ሳነጋግራቸው	Talk to them
ማሕበራዊ	Social
በፍስራሾች	By employers
350ሺ	350 thousand
አዝመራው	crop
ዩኒሴፍን	UNICEF
ከሟቾቹ	From the dead
ሃራዳ	Harada
የማያሳየውን	Show off
ፍርስራሾች	Ruins
የሸሹ	Flying
ሰከራም	Trafficking
ሣቢያ	Sabah
ትለው	You say
የሚገድሉኝ	They kill me
የምከፍለው	I will pay it
እያሰቡት	Thinking
አርዶ	Ard
የተደፈረበት	Intimidated
ትዙ	Save
ልቦማ	Impressive
በMAC	By MAC
ገልጸውልኛል	You mentioned me
በእያለንበት	In our moment
ልትቆጠብ	save
ሃይልም	Power
ተቕማጥ	Diarrhea
ፕሬቫል	Prague
የቱኒዝያ	Tunisia
የታወጀው	Announced
በስግደት	In prayer
ስለተዋወቅን	About us
ያጋጠሙት	They encountered
የኮምዩንታንግ	Comunity
የኔቆንጆ	Monaco
በደረሳቸው	It happened
ደህንነታችሁ	Your safety
ሲከታተሉ	Tracking
ታዝዘን	Order
በአሳማ	Play Play Play
እርምጃችን	Our steps
በሀዘን	Sorry
ካልጣለ	If not
ኣስተዳዳሪና	Administrator
ሁስኒ	Honey
በናዬስታኒ	In Nordic
የሚፈፅመው	Fulfilled
ተቆጥቧል	It's not
የታሸጉ	Packaged
ለእናቶችና	Mothers and sisters
በን	By
በ2ዐ11	In 1111
ከሶማሊያና	From Somalia
ከ3000	From 3000
እንዳልተቻለ	Not possible
ሊዳረግ	To do
ርእደ	Hail
አሠፋፈር	Bust
እየሰጠሁ	I give it
ይኖሩ	Stay there
ትታችሁ	Leave
በቱኒዥያ	In Tunisia
የካምፑ	Camp
ይገነዘባል	Recognizes
የዝንጀሮ	Monkey
እስኪያገኙ	Until you find it
ሲያትም	When it's done
ለካንሠር	Carnival
አማኞችም	Believers
ሕይወትም	And life
የተካሄደበትን	It took place
የተሰጡ	Assigned
ተፈሞበታል	He is betrayed
ደብረብርሃን	Debre Berhan
ሆልደር	Holder
ከመንቀጥቀጡ	Shoot off
ኢትዮጰያዊያን	Ethiopians
መጠርጠሩን	Be suspicious
የሰዎቹ	people
ተነግሮለታል	Was told
የመጣና	It came
ድጋፉም	support
እንዳስረከብ	Submitting
ኮሚሺርነት	Commission
እንደማይታያቸው	Do not see them
ስትራስ	Strasbourg
የቁሉምሣ	Malaria
እንፈረጃለን	We will try
ያቀርቡላቸዋል	Provided them
ሜሊንዳ	Melinda
ስጋትንም	And fear
ኢልሪች	Elmer
ተዋሃዱ	Break it
ለስንዴ	For wheat
መጋሌ	Wrong
ከተያያዙ	If attached
ዴፖን	Deep
የሚድህ	Who cares for you
የክል	Play Zone
ያለመረጋጋት	Unstable
ያልቻሉበት	Not able to
በጭልጋ	In the cold
ኢንዶ-ኤሽያን	Indo-Asian
የሚጠሩህ	They call you
መብትም	Right
ይሰበራል	Will be broken
ለማስቀረት	cancel
ብዥታን	Blizzard
እስርንም	And to captivity
የዘሩን	Seed
የወረሩት	Grown
አስክሬን	Body
ሳኒ	Sani
አፋርና	Shy
አትለፍልፉ	Do not miss
ሙቶ	He died
ሲሰራጭ	When Distributed
ማስታገስ	Reduce
በኢትዮጵያ	In Ethiopia
ጠላቱ	enemy
ስለመልሶ	About return
ሳይደርስባቸው	Without them
ጉዳዬች	Things
በያብ	By Jubilee
ቢገለፅም	Even if he is identified
ዜጐችን	Citizens
የያዘችውን	That holds it
ያናጉ	Disable
እንስሣቱንና	animals
ቀጥላለች	Continued
ስፔስ	Space
በአዋሣ	Play awhile
ከሰርጎ	From Siggoat
በመርጨትና	And rolling
ፌደራሎች	Fences
የገለፁትም	Have described it
ከኢሊኖ	Eloise
የማራገፍ	Uninstall
ባርመር	Barry
ኮማንዶዎቿ	Her comedians
ለአለማቀፉ	blame
ዲአርአርዳብልዩ	DARAADBURG
መምጣቱም	And he came
የተጠራው	Called
ከናፍር	Napoleon
የካርቱኒስቱን	cartoon
ለአሚሶምና	For Amos
ለተቀደሰ	For holiness
አለመመቻቸታቸውን	Their inability
ከበልግ	From the Autumn
ውሃዎች	Water
በመፍትሔው	Solution
ከብቶቻችንን	Our cattle
ስቶ	Stupidity
ጉስፒ	Gao
ታክመው	Tired of it
ለግንኙነት	For communication
እድገታቸው	Their growth
ሆስፒታሉን	Hospitals
የማይላወስ	Immoderate
መረጋጋቱ	stability
በካንሰር	Cancer
እንዳሣፈረ	As inserted
የካንኩን	Cincinnati
ፈሟል	Crashed
እንዲያፈነዱ	Explosive
የመረጡት	You have chosen
እንደተወለዱ	Born
ልታስተናግድ	You pay
